Age Range,Zip Code,City,Gender,Donors,Non-Donors,ID Card Donors,ID Card Non-Donors,Driver License Donors,Driver License Non-Donors,ID Card/Driver License Donors,ID Card/Driver License Non-Donors
45-50,19709,MIDDLETOWN DE,M,0,1,0,1,0,1,0,0
31-35,19961,LITTLE CREEK,M,0,1,0,1,0,1,0,0
61-65,19930,SOUTH BETHANY,F,1,0,0,1,1,0,0,0
56-60,19708,KIRKWOOD DE,F,0,1,0,1,0,1,0,0
66-70,19973,BLADES,F,1,1,0,2,1,1,0,0
51-55,19966,LONG NECK,M,1,0,0,1,1,0,0,0
66-70,19970,MILLVILLE,F,1,1,0,2,1,1,0,0
36-40,19938,CLAYMONT,F,0,1,0,1,0,1,0,0
61-65,19980,WOODSIDE,F,3,7,0,10,3,7,0,0
71+,19720,NEWCASTLE,F,0,1,0,1,0,1,0,0
61-65,19966,LONGNECK,M,1,0,0,1,1,0,0,0
71+,19930,SOUTH BETHANY,M,0,1,0,1,0,1,0,0
66-70,19809,BELLEFONTE,F,3,1,0,4,3,1,0,0
45-50,19720,NEWCASTLE,F,1,0,1,0,0,1,0,0
56-60,19936,CHESWOLD,F,4,12,0,16,4,12,0,0
36-40,19971,REHOBOTH,M,2,1,0,3,2,1,0,0
61-65,19711,NEWARK DE,F,0,1,0,1,0,1,0,0
71+,19805,WIMINGTON DELAW,F,0,1,0,1,0,1,0,0
56-60,19735,WINTERTHUR,F,1,0,0,1,1,0,0,0
66-70,19707,HOCKESSON,F,1,0,0,1,1,0,0,0
21-25,19961,LITTLE CREEK,M,1,0,0,1,1,0,0,0
21-25,19939,DASGBORO,F,0,1,0,1,0,1,0,0
45-50,19710,MONTCHANIN,F,2,1,0,3,2,1,0,0
45-50,19980,WOODSIDE,M,0,6,0,6,0,6,0,0
71+,19702,NEW CASTLE,M,1,0,0,1,1,0,0,0
66-70,19711,NEWAK,F,0,1,0,1,0,1,0,0
71+,19702,CHRISTIANA,F,1,2,0,3,1,2,0,0
51-55,19902,DOVER,M,0,1,0,1,0,1,0,0
71+,19804,WILMINGTON 4,F,0,1,0,1,0,1,0,0
36-40,19712,NEWARK,F,0,1,0,1,0,1,0,0
31-35,19902,DOVER AFB,F,2,1,0,3,2,1,0,0
66-70,19969,NASSAU,F,0,1,0,1,0,1,0,0
51-55,19733,ST. GEORGES,M,0,1,0,1,0,1,0,0
56-60,19807,GREENVILLE,F,2,3,0,5,2,3,0,0
51-55,19808,MARSHALLTON,F,0,3,0,3,0,3,0,0
61-65,19973,BLADES,M,1,3,0,4,1,3,0,0
41-45,19973,BLADES,M,2,0,0,2,2,0,0,0
26-30,19902,DOVER AFB,F,3,2,0,5,3,2,0,0
61-65,19975,WEST FENWICK,F,0,1,0,1,0,1,0,0
71+,19702,NEWARK DELAWARE,F,1,0,0,1,1,0,0,0
51-55,19720,WILMINGTON,M,1,0,0,1,1,0,0,0
45-50,19702,NEWARK DE,F,0,1,0,1,0,1,0,0
71+,19805,WILMINGTON 5,F,0,1,0,1,0,1,0,0
71+,19958,LAUREL,F,1,0,0,1,1,0,0,0
45-50,19901,DE,M,1,0,0,1,1,0,0,0
